,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
arena_settings_win_condition_value_name,Win Condition Value,Число победы,,,Gewinn Voraussetzung Wert,,,Wartość warunku wygranej,获胜条件值,,,,,
arena_settings_win_condition_value_description,The value to use for the win condition.,"Число, которое необходимо достичь для победы",,,Der Wert der für die Gewinn Voraussetzung benutzt wird,,,Wartość używana w warunku wygranej.,获胜所需数据,,,,,
arena_win_condition_text,%s has won the match!,%s одерживает победу!,,,%s hat das Match gewonnen!,,,%s wygrał mecz!,%s赢得了比赛！,,,,,
arena_win_condition_description,They met the win condition.,Условие победы достигнуто,,,Sie haben die Gewinn Voraussetzung erfüllt,,,Spełnili warunek wygranej.,已经达成了胜利条件,,,,,
arena_win_condition_ending_game_text,Returning to lobby menu in %s seconds.,Возвращение в меню лобби через %s секунд.,,,Kehre zu Lobby Menü in %s Sekunden zurück,,,Powrót do pokoju za %s sekund.,%s 秒后返回房间菜单。,,,,,
arena_win_condition_near,%s is about to win the match!,%s слишком близок к победе!,,,%s ist auf dem Weg das Match zu gewinnen!,,,%s niedługo wygra mecz!,%s即将赢得这场比赛！,,,,,
arena_win_condition_near_description,Stop them while you can!,Остановите их пока можете!,,,Halte Sie auf bevor es zu spät ist!,,,Powstrzymaj ich jak najprędzej!,趁你还可以的时候阻止他们！,,,,,
arena_playerinfo_winstreak,Winstreak: %s,Серия побед: %s,,,Siegesserie: %s,,,Seria wygranych: %s,连胜：%s,,,,,
arena_playerinfo_kills,Kills: %s,Убийства: %s,,,Tötungen: %s,,,Zabicia: %s,击杀：%s,,,,,
arena_playerinfo_killstreak,Killstreak: %s,Серия убийств: %s,,,Tötungsserie: %s,,,Seria zabójstw: %s,连杀：%s,,,,,
arena_playerinfo_deaths,Deaths: %s,Смерти: %s,,,,,,Zgony: %s,,,,,,
arena_playerinfo_placeholder,?,?,,,,,,?,,,,,,
arena_settings_win_condition_end_match_name,Win Condition End Match,Условия победы - Закончить матч,,,,,,Koniec meczu po spełnieniu warunku wygranej,达成获胜条件结束比赛,,,,,
arena_settings_win_condition_end_match_description,Should the match end after the win condition is met?,Должен ли матч кончаться после выполнения условий?,,,,,,Czy mecz powinien się zakończyć po spełnieniu warunku wygranej?,满足获胜条件后比赛是否应该结束？,,,,,
arena_settings_perk_blacklist_name,Perk Blacklist,Черный список бонусов,,,,,,Zakazane umiejętności,天赋禁用列表,,,,,
arena_settings_spell_blacklist_name,Spell Blacklist,Черный список заклинаний,,,,,,Zakazane zaklęcia,法术禁用列表,,,,,
arena_settings_hover_tooltip_blacklist,Click to blacklist,Добавить в черный список,,,,,,Naciśnij żeby zakazać,点击禁用此法术,,,,,
arena_settings_hover_tooltip_whiitelist,Click to whitelist,Добавить в белый список,,,,,,Naciśnij żeby pozwolić,点击恢复此法术,,,,,
arena_disable_all,Blacklist all,В черный список все,,,,,,Zakaż wszystkie,全部禁用,,,,,
arena_enable_all,Whitelist all,В белый список все,,,,,,Pozwól wszystkie,全部恢复,,,,,
arena_content_mismatch_name,Content Mismatch!,Несоответствие контента!,,,,,,Różnica zawartości gier!,内容不匹配！,,,,,
arena_content_mismatch_description,Your installed spells or perks do not match the lobby owner.,Ваши установленные заклинания или бонусы не совпадают с владельцем лобби.,,,,,,Twoje zainstalowane zaklęcia i umiejętności nie zgadzają się z tymi właściciela pokoju.,您使用的法术或天赋与房间主机不匹配。,,,,,
arena_content_mismatch_description_2,Make sure you are running the same Noita version and the same mods.,"Убедитесь, что у вас установлена одинаковая версия Noita и одинаковые моды.",,,,,,"Upewnij się, że korzystasz z tej samej wersji gry i tych samych modów co właściciel pokoju.",确保您运行相同的 Noita 版本和相同的 mod。,,,,,
arena_content_mismatch_description_3,[Tip] You can click on the Lobby Owner's name to view their installed mods!,"Вы можете нажать на имя владельца лобби, чтобы просмотреть их установленные моды!",,,,,,[Podpowiedź] Możesz kliknąć na właściciela pokoju i sprawdzić jakie dodatki mają zainstalowane!,,,,,,
arena_settings_shop_sync_name,Sync Shop Items,Синхронизировать товары в магазине,,,,,,Synchronizuj sklepy,统一商店物品,,,,,
arena_settings_shop_sync_description,Everyone gets the same shops.,У всех будут одинаковые магазины,,,,,,Wszyscy gracze otrzymają te same sklepy do wyboru.,所有人的商店都一致,,,,,
arena_settings_perk_sync_name,Sync Perks,Синхронизировать бонусы,,,,,,Synchronizuj umiejętności,同步天赋,,,,,
arena_settings_perk_sync_description,Everyone gets the same perk pool.,У всех на выбор будут одинаковые бонусы,,,,,,Wszyscy gracze otrzymają te same umiejętności do wyboru.,所有人都获得相同的天赋池,,,,,
arena_settings_smash_mode_name,Smash Mode,Режим smash,,,,,,Tryb Smash,击飞模式,,,,,
arena_settings_smash_mode_description,Replaces damage with scaling knockback,Вместо урона теперь растущее отбрасывание,,,,,,Zastąp obrażenia odrzutem,用击退能力取代伤害,,,,,
arena_bad_online_version,Your installed version of Noita Online is incompatible with this Noita Arena version.,Установленная вами версия Noita Online несовместима с этой версией Noita Arena,,,,,,Twoja wersja dodatku Noita Online nie jest kompatybilna z tą wersją dodatku Noita Arena.,您安装的 Noita Online 版本与此 Noita Arena 版本不兼容。,,,,,
arena_bad_online_version_desc,Please update to version %s or above.,"Пожалуйста, обновите до версию %s или выше",,,,,,Zaktualizuj do wersji %s lub wyżej.,请更新到版本 %s 或更高版本。,,,,,
arena_online_update,Update,Обновление,,,,,,Aktualizuj,更新,,,,,
arena_settings_shop_disable_tiers_name,True Random Shops,Случайные магазины,,,,,,Prawdziwie losowe sklepy,真正的随机商店,,,,,
arena_settings_shop_disable_tiers_description,"Disable the vanilla spell tier system, any spell can spawn at any time.","Убрать ванильную систему уровней заклинаний, любое заклинание может быть в магазине в любое время",,,,,,"Wyłącz domyślny system skalowania zaklęć, dowolne zaklęcie może pojawić się w dowolnym momencie.",无视原版法术等级，任何法术都可以随时出现,,,,,
arena_settings_item_shop_name,Item Shop,Магазин предметов,,,,,,Sklep z przedmiotami,物品商店,,,,,
arena_settings_item_shop_description,Allow players to buy items/potions in the holy mountain.,Разрешить игрокам покупать предметы/зелья в святой горе,,,,,,Pozwól graczom zakupić przedmioty i mikstury w świątyni.,允许玩家在圣山购买物品/药水。,,,,,
arena_settings_random_seed_name,Random Seed,Случайный сид,,,,,,Losowe ziarno,随机种子,,,,,
arena_settings_random_seed_description,Randomized world seed every time the match is restarted,Менят сид мира на случайный при перезапуске матча,,,,,,Losuje nowe ziarno generatora świata po każdym restarcie meczu.,每次比赛重新开始时随机产生世界种子,,,,,
arena_settings_map_pool_name,Map Pool,Пул карт,,,,,,Pula map,地图池,,,,,
arena_settings_map_pool_description,Enable or disable different maps in the pool.,Добавлять или убирать разные карты в пул,,,,,,Włącz lub wyłącz mapy z puli.,启用或禁用池中的不同地图。,,,,,
arena_settings_map_picker_name,Map Selection Mode,Режим выбора карт,,,,,,Wybór mapy,地图选择方式,,,,,
arena_settings_map_picker_description,How should the game decide the next map?,Как игра выберет следующюю карту?,,,,,,Jak gra powinna decydować kolejną mapę?,游戏应该如何决定下一张地图？,,,,,
arena_settings_map_picker_enum_order,Ordered,По порядку,,,,,,W kolejności,选定的,,,,,
arena_settings_map_picker_enum_random,Random,Случайно,,,,,,Losowo,随机的,,,,,
arena_settings_map_picker_enum_vote,Vote,Голосование,,,,,,Głosuj,投票,,,,,
arena_map_critical_error,[Critical Error],[Критическая ошибка],,,,,,[Błąd krytyczny],[严重错误],,,,,
arena_map_map_load_failed,Failed to load selected arena map.,Загрузка выбранной карты провалена.,,,,,,Nie powiodło się załadowanie wybranej areny.,无法加载选定的竞技场地图。,,,,,
arena_map_loaded,Loaded arena: %s,Загружаем арену ' %s ',,,,,,Załadowano arenę: %s,已加载竞技场：%s,,,,,
arena_map_vote_votes,%s votes,%s голосов,,,,,,%s głosów,%s 票,,,,,
arena_map_vote_timer,Voting ends in %s seconds.,Голосование завершится через %s секунд,,,,,,Głosowanie kończy się na %s sekund.,投票将在 %s 秒后结束。,,,,,
arena_map_vote_header,Vote for the next map!,Голосуйте за следующую карту!,,,,,,Głosuj na kolejną mapę!,为下一张地图投票！,,,,,
arena_settings_map_vote_timer_name,Map vote time,Время голосования,,,,,,Czas głosowania na mapę,地图投票时间,,,,,
arena_settings_map_vote_timer_description,The time players have to vote for the next map.,Время на голосование за следующую карту,,,,,,"Czas, który mają gracze, aby zagłosować na kolejną mapę.",玩家必须为下一张地图投票的时间。,,,,,
arena_map_vote_completed,"Map vote completed, winner is being chosen.","Голосование завершено, выбираем победителя.",,,,,,"Głosowanie zakończone, trwa wybieranie mapy.",地图投票已完成，正在选出地图。,,,,,
arena_cosmetics_dunce_hat_name,Dunce Hat,Дурацкая шляпа,,,,,,Czapka Matoła,傻瓜帽,,,,,
arena_cosmetics_dunce_hat_description,Give the last person ready a temporary dunce hat cosmetic.,Самый медленный получает косметическую дурацкую шляпу,,,,,,Daj ostatniej niegotowej osobie Czapkę Matoła.,给最后一个准备好的临时帽子,,,,,
arena_wardrobe_interact_open,Press $0 to open wardrobe,"Нажмите $0, чтобы открыть гардероб",,,,,,Naciśnij $0 aby otworzyć przebieralnię,按 $0 打开衣柜,,,,,
arena_wardrobe_interact_closed,Press $0 to close wardrobe,"Нажмите $0, чтобы закрыть гардероб",,,,,,Naciśnij $0 aby zamknąć przebieralnię,按 $0 关闭衣柜,,,,,
arena_maps_original_name,Origins,Истоки,,,,,,Początek,,,,,,
arena_maps_original_description,"The original arena, created during closed beta","Оригинальная карта, созданная во время закрытого бета тестирования",,,,,,Oryginalna mapa używana podczas zamkniętej bety.,,,,,,
arena_maps_temple_name,Unholy Temple,Нечестивый храм,,,,,,Nieświęta Świątynia,,,,,,
arena_maps_temple_description,A not so holy temple.,Не-то-чтобы-святой храм,,,,,,Nie tak święta świątynia.,,,,,,
arena_maps_stadium_name,Stadium,Стадион,,,,,,Stadion,,,,,,
arena_maps_stadium_description,An outdoor football field on an island.,Футбольное поле на острове,,,,,,Boisko do piłki nożnej na wyspie.,,,,,,
arena_maps_coalpit_name,Excavation Site,Раскопки,,,,,,Plac Wykopu,,,,,,
arena_maps_coalpit_description,An arena based off the Coal Pit.,Арена на основе Угольных Шахт,,,,,,Arena oparta na biomie Kopalnia Węgla,,,,,,
arena_maps_biomes_name,Biomes,Биомы,,,,,,Biomy,,,,,,
arena_maps_biomes_description,A procedurally generated map of a random Noita biome.,Процедурно сгенерированная карта случайного биома Ноиты,,,,,,Proceduralnie generowana mapa losowego biomu Noity.,,,,,,
arena_save_warning,Continued Save Warning,Предупреждение! Продолжение игры.,,,,,,Ostrzeżenie o kontynuowaniu poprzedniego zapisu,,,,,,
arena_save_warning_description,You appear to have clicked Continue instead of New Game,"Похоже, вы нажали 'ПРОДОЛЖИТЬ' вместо 'НОВАЯ ИГРА'",,,,,,"Wygląda na to, że kliknąłeś Kontynuuj zamiast Nowa Gra",,,,,,
arena_save_warning_description_2,"This can cause stability issues with Noita Arena, please start a New Game.","Это может вызвать нестабильность в Noita Arena, пожалуйста, начните Новую Игру.",,,,,,"Może to spowodować problemy z Noita Arena, proszę rozpocznij nową grę.",,,,,,
arena_mp_missing_warning,Noita Online Missing,Noita Online не найдена.,,,,,,Brakuje Noita Online,,,,,,
arena_mp_missing_warning_description,"You do not have Noita Online enabled, or installed properly.",Noita Online не установлена или не включена.,,,,,,Dodatek Noita Online nie jest zainstalowany lub zainstalowany niepoprawnie.,,,,,,
arena_mp_missing_warning_description_2,Please install/enable Noita Online and start a new game.,"Пожалуйста, установите/включите Noita Online и начните новую игру.",,,,,,Proszę zainstaluj / uruchom Noita Online i rozpocznij nową grę.,,,,,,
arena_close_button,Close,Закрыть,,,,,,Zamknij,,,,,,
arena_maps_credits,Made by %s,Создано %s,,,,,,Stworzone przez %s,,,,,,
arena_maps_bureon_name,Bureon,Буреон,,,,,,,,,,,,
arena_maps_bureon_description,An icy map without ice?,Ледяная карта безо льда?,,,,,,"Lodowa mapa, ale bez lodu?",,,,,,
arena_maps_tryon_name,Tryon,Трион,,,,,,,,,,,,
arena_maps_tryon_description,Science is our world's magic,Наука - магия нашего мира.,,,,,,Nauka to magia naszego świata,,,,,,
arena_settings_card_blacklist_name,Card Blacklist,Чёрный список карт,,,,,,Zakazane karty,,,,,,
arena_dummy_switch,Press $0 to switch target,"Нажмите $0, чтобы заменить манекен",,,,,,Naciśnij $0 aby zmienić cel,,,,,,
arena_skins_skin_editor,Skin Editor,Редактор облика,,,,,,Edytor skórek,,,,,,
arena_skins_color_picker,Color Picker,Пипетка,,,,,,Wybierz kolor,,,,,,
arena_skins_storage,Storage,Хранилище,,,,,,Garderoba,,,,,,
arena_skins_tools_pencil,Pencil,Карандаш,,,,,,Ołówek,,,,,,
arena_skins_tools_pencil_description,"Left click to draw, right click to erase","ЛКМ чтобы рисовать, ПКМ чтобы стереть",,,,,,"Lewy przycisk myszy aby rysować, prawy aby wymazać.",,,,,,
arena_skins_tools_eraser,Eraser,Ластик,,,,,,Gumka,,,,,,
arena_skins_tools_eraser_description,Left click to erase.,ЛКМ чтобы стереть,,,,,,Lewy przycisk myszy aby wymazać.,,,,,,
arena_skins_tools_picker,Color Picker,Пипетка,,,,,,Wybierz kolor,,,,,,
arena_skins_tools_picker_description,Left click on the image to pick color.,ЛКМ на изображении чтобы выбрать цвет,,,,,,Lewy przycisk myszy aby wybrać kolor.,,,,,,
arena_skins_tools_fill,Fill,Заливка,,,,,,Wypełnianie,,,,,,
arena_skins_tools_fill_description,"Left click to fill attached pixels, right click to erase attached pixels.","ЛКМ чтобы залить пиксели, ПКМ чтобы удалить пиксели",,,,,,"Lewy przycisk myszy aby wypełnić sąsiadujące piksele, prawy aby je wymazać.",,,,,,
arena_skins_tools_replace,Replace Color,Заменить цвет,,,,,,Zamiana kolorów,,,,,,
arena_skins_tools_replace_description,"Left click to replace color everywhere, right click to erase color everywhere.","ЛКМ чтобы заменить цвет везде, ПКМ чтобы стереть цвет везде",,,,,,"Lewy przycisk myszy aby wszędzie zamienić kolor, prawy aby wszędzie wymazać.",,,,,,
arena_skins_skin_name,Skin Name: ,Название: ,,,,,,Nazwa skórki,,,,,,
arena_skins_save_skin,Save Skin,Сохранить облик,,,,,,Zapisz skórkę,,,,,,
arena_skins_open_folder,Open Skins Folder,Открыть папку с обликами,,,,,,Otwórz folder skórek,,,,,,
arena_skins_remove_skin,[Remove],[Удалить],,,,,,[Usuń],,,,,,
arena_skins_overwrite,[Overwrite],[Перезаписать],,,,,,[Nadpisz],,,,,,
arena_skins_apply_skin,Apply Skin,Применить облик,,,,,,Zastosuj skórkę,,,,,,
arena_skins_save_skin_description,Save skin to file (will overwrite if skin with same name already exists.),"Сохранить облик в файл (Это перезапишет облик с таким же именем, если такой существует)",,,,,,"Zapisuje skórkę do pilku (nadpisze, jeżeli skórka z identyczną nazwą już istnieje).",,,,,,
arena_skins_apply_skin_description,Apply skin to your player.,Применить облик,,,,,,Stosuje skórkę do twojego gracza.,,,,,,
arena_skins_open_folder_description,Open the skins folder.,Открывает папку с обликами,,,,,,Otwiera folder ze skórkami.,,,,,,
arena_lobby_string,(Round %s),(%s раунд),,,,,,(Runda %s),,,,,,
arena_settings_refresh_name,Refresh wands,Возобновлять жезлы,,,,,,Odśwież różdżki,,,,,,
arena_settings_refresh_description,Refresh all spell charges when entering the arena.,Все заряды заклинаний восполняются при входе в Арену,,,,,,Odśwież wszystkie ładunki zaklęć przy wejściu na arenę.,,,,,,
arena_use_refresh,Press $0 to refresh your wands.,"Нажмите $0, чтобы восполнить ваши заряды заклинаний",,,,,,"Naciśnij $0, aby odświeżyć różdżki",,,,,,
arena_ready_button_not_ready,Not Ready,Не готов,,,,,,Niegotowy,,,,,,
arena_ready_button_ready,Ready,Готов,,,,,,Gotowy,,,,,,
arena_settings_hm_timer_count_name,HM Timer Percentage,Процент таймера Святой Горы,,,,,,Procent minutnika świątyni,,,,,,
arena_settings_hm_timer_count_description,Percentage of players who need to be ready to start the Holy Mountain timer.\nIf this is set to 100% it will disable the timer.,"Процент игроков, которые должны быть готовы, чтобы запустить таймер Святой горы.\nЕсли установить на 100%, таймер будет отключён.",,,,,,"Procent graczy, którzy muszą być gotowi, aby aktywować minutnik świątyni.\nJeżeli ustawione będzie 100%, minutnik zostanie wyłączony.",,,,,,
arena_settings_hm_timer_time_name,HM Timer Time,Время таймера Святой Горы ,,,,,,Tryb minutnika świątyni,,,,,,
arena_settings_hm_timer_time_description,How long should the holy mountain timer be.,Каким длинным должен быть таймер Святой Горы?,,,,,,Jak długi będzie minutnik świątyni.,,,,,,
arena_hm_timer_string,%s until next round.,%s до следующего раунда,,,,,,%s do następnej rundy.,,,,,,
arena_lag_detected_name,Low Framerate Detected,Засечена низкая частота кадров.,,,,,,Wykryto niskie FPS,,,,,,
arena_lag_detected_description,"Framerate fell below minimum threshold, projectiles have been killed.","Частота кадров ниже минимума, заклинания уничтожены.",,,,,,"FPS spadł poniżej progu minimalnego, pociski zostały usunięte",,,,,,
arena_lag_detected_description_2,Do you wish to reset the Holy Mountain?,Вы хотите перезагрузить Святую Гору?,,,,,,Czy chcesz zresetować świątynie?,,,,,,
arena_lag_detected_kill,Reset HM,Перезагрузить Святую Гору,,,,,,Resetuj świątynie,,,,,,
arena_reset_hm,Unstuck,Выбраться,,,,,,Odutknij,,,,,,
arena_reset_hm_description,Press if you are stuck.,"Нажмите, если вы застряли.",,,,,,Naciśnij jeśli twoja postać utknęła.,,,,,,
arena_reset_hm_description_2,This will reload your Holy Mountain.,Это перезагрузит вашу Святую Гору,,,,,,To przeładuje twoją świątynie.,,,,,,
arena_preparing,Preparing in Holy Mountain,Подготовка в Святой горе,,,,,,Przygotowania w świątyni,,,,,,
arena_in_progress,"Game is in progress, please wait","Игра в процессе, пожалуйста, подождите.",,,,,,"Gra w toku, proszę czekać",,,,,,
arena_settings_gamemode_name,Gamemode,Режим игры,,,,,,Tryb gry,,,,,,
arena_settings_gamemode_description,What arena gamemode to run?,Какой режим игры Арены запускать?,,,,,,Jaki tryb areny wybrać?,,,,,,
arena_settings_gamemode_ffa,Free For All,Каждый сам за себя,,,,,,Wszyscy na wszyskich,,,,,,
arena_settings_gamemode_teams,Teams,Команды,,,,,,Drużyny,,,,,,
arena_settings_gamemode_continuous,Continuous,Продолжительный,,,,,,Ciągły,,,,,,
arena_settings_experimental,Experimental,Экспериментальный,,,,,,Eksperymentalny,,,,,,
arena_settings_experimental_desc,This is in active development and may have issues.,"Находится в разработке, могут возникнуть неполадки",,,,,,Ten tryb jest aktualnie w fazie rozwoju i może mieć wiele problemów.,,,,,,
arena_card_pick,Press $0 to pick a card,Нажмите $0 чтобы выбрать карту,,,,,,"Naciśnij $0, aby wybrać kartę",,,,,,
arena_card_pick_2,Press $0 to close,Нажмите $0 чтобы закрыть,,,,,,"Naciśnij $0, aby zamknąć",,,,,,
arena_settings_homing_mult_name,Homing Multiplier,Множитель самонаводки,,,,,,Mnożnik naprowadzania,,,,,,
arena_settings_homing_mult_description,Global multiplier for homing strength,Глобальный множитель для силы самонаводки,,,,,,Globalny mnożnik siły naprowadzania.,,,,,,
arena_settings_homing_mult_self_name,Self Homing Mult,Множитель самонаводки на себя,,,,,,Mnożnik naprowadzania na siebie,,,,,,
arena_settings_homing_mult_self_description,Should multiplier affect self homing?,Множитель влияет на самонаводку на себя?,,,,,,Czy mnożnik powinień wpływać na naprowadzanie na siebie?,,,,,,
arena_settings_material_blacklist_name,Material Blacklist,Чёрный список веществ,,,,,,Zakazane materiały,,,,,,
arena_settings_item_blacklist_name,Item Blacklist,Чёрный список предметов,,,,,,Zakazane przedmioty,,,,,,
arena_settings_health_scaling_type_name,Health Scaling Type,Тип роста лечения,,,,,,Rodzaj skalowana życia,,,,,,
arena_settings_health_scaling_type_description,How should health pickups scale?,Алгоритм роста Лечения,,,,,,Jak powinny skalować się apteczki?,,,,,,
arena_settings_health_scaling_flat_amount_name,HP Amount,Здоровье,,,,,,Liczba zdrowia,,,,,,
arena_settings_health_scaling_multiplier_amount_name,HP Multiplier,Множитель здоровья,,,,,,Mnożnik zdrowia,,,,,,
arena_settings_health_scaling_flat_amount_description,How much max health should be gained when HP is picked.,Сколько макс. здоровья получено при подборе здоровья.,,,,,,Ilość maksymalnego zdrowia danego przy podniesieniu apteczki.,,,,,,
arena_settings_health_scaling_multiplier_amount_description,How much should max health be multiplied by when HP is picked.,Множитель здоровья при подборе здоровья,,,,,,Mnożnik zdrowia przy podniesieniu apteczki.,,,,,,
arena_settings_health_scaling_enum_flat,Flat,Линейный,,,,,,Liniowe,,,,,,
arena_settings_health_scaling_enum_mult,Multiplier,Множитель,,,,,,Mnożnik,,,,,,
arena_settings_instant_health_name,Instant Health,Лечение,,,,,,Natychmiastowe zdrowie,,,,,,
arena_settings_instant_health_description,Holy mountain health pickup is gained immediately.,Сердце в Святой Горе подбирается автоматически,,,,,,Zdrowie zostanie zregenerowane od razu po wejściu do świątyni.,,,,,,
arena_settings_gold_scaling_type_name,Gold Scaling Type,Тип роста заработка золота,,,,,,Typ skalowania złota,,,,,,
arena_settings_gold_scaling_type_description,How should shop price / gold gain scale.,Алгоритм роста цены в магазине к заработку золота,,,,,,Jak powinny skalować się ceny w sklepach / ilość zdobycznego złota,,,,,,
arena_settings_gold_scaling_type_old,Old,По-старому,,,,,,Stare,,,,,,
arena_settings_gold_scaling_type_exponential,Exponential,Экспоненциально,,,,,,Wykładnicze,,,,,,
arena_settings_gold_scaling_type_none,None,Нет,,,,,,Żadne,,,,,,
arena_display_wincondition,Win Condition:,Условие победы:,,,,,,Warunek zwycięstwa:,,,,,,
arena_display_wincondition_first_to_x,First to %s wins.,Первый до %s побед,,,,,,Pierwszy do %s wygrywa.,,,,,,
arena_display_wincondition_best_of_x,Best of %s rounds,Лучший из %s раундов,,,,,,Najlepszy z %s rund wygrywa,,,,,,
arena_display_wincondition_winstreak,Winstreak of %s,Серия побед: %s ,,,,,,Seria zwycięstw %s wygrywa,,,,,,
arena_perk_mega_beam_stone,Summon Sädekivi,Призыв Сядекиви,Evocar Sädekivi,Invocar a Sädekivi,Sädekivi beschwören,Invocation de Sädekivi,Evoca Sädekivi,Przywołaj Sädekiviego,召唤萨德祈唯 ,サデキヴィの召喚 ,사데키비 소환,,,
arena_skins_confirm_delete_name,Delete Skin '%s',Удалить облик '%s',,,,,,Usuń skórkę '%s',,,,,,
arena_skins_confirm_overwrite_name,Overwrite Skin '%s',Перезаписать облик '%s',,,,,,Nadpisz skórkę '%s',,,,,,
arena_skins_confirm_delete_desc,Are you sure you want to delete this skin?,"Вы уверены, что хотите удалить этот облик?",,,,,,Czy jesteś pewien że chcesz usunąć tą skórkę?,,,,,,
arena_skins_confirm_overwrite_desc,Are you sure you want to overwrite this skin?,"Вы уверены, что хотите перезаписать этот облик?",,,,,,Czy jesteś pewien że chcesz nadpisać tą skórkę?,,,,,,
arena_skins_confirm_delete,Delete,Удалить,,,,,,Usuń,,,,,,
arena_skins_confirm_overwrite,Overwrite,Перезаписать,,,,,,Nadpisz,,,,,,
arena_skins_confirm_cancel,Cancel,Отменить,,,,,,Anuluj,,,,,,
arena_skins_confirm_save_name,Save Skin '%s',Сохранить облик '%s',,,,,,Zapisz skórkę '%s',,,,,,
arena_skins_confirm_save_desc,Are you sure you want to save this skin? \nDoing so will replace any skin with the same name.,"Вы уверены, что хотите сохранить этот облик? \nСохранение перезапишет облик с таким же названием.",,,,,,Czy na pewno chcesz zapisać tę skórkę? \nZrobienie tego nadpisze skórkę o tej samej nazwie.,,,,,,
arena_skins_confirm_save,Save,Сохранить,,,,,,Zapisz,,,,,,
arena_settings_max_tier_true_random_name,Max Tier Random,Максимальный уровень случайного товара,,,,,,Losuj przy najwyższym poziomie,,,,,,
arena_settings_max_tier_true_random_desc,When the max shop tier is reached shops will start giving completely random contents.,"Когда Магазин достигает максимального уровня, в них появляются совершенно случайные товары.",,,,,,"Kiedy sklep osiągnie najwyższy poziom, zacznie oferować kompletnie losowe przedmioty.",,,,,,
arena_end_of_round_overview,Scoreboard,Таблица лидеров,,,,,,Tablica wyników,,,,,,
arena_scores_wins,Wins,Победы,,,,,,Zwycięstwa,,,,,,
arena_scores_max_winstreak,Max Winstreak,Максимальная серия побед,,,,,,Największa seria zwycięstw,,,,,,
arena_scores_kills,Kills,Убийства,,,,,,Zabójstwa,,,,,,
arena_scores_deaths,Deaths,Смерти,,,,,,Śmierci,,,,,,
arena_scores_name,Name,Имя,,,,,,Imię,,,,,,
arena_scores_winstreak,Winstreak,Серия побед,,,,,,Seria zwycięstw,,,,,,
arena_scores_ping,Ping,Пинг,,,,,,Ping,,,,,,
arena_scores_delay,Delay,Задержка,,,,,,Opóźnienie,,,,,,
arena_scores_ping_format,%sms,%s мс,,,,,,%sms,,,,,,
arena_scores_delay_format,%sf,%s кадров,,,,,,%sf,,,,,,
arena_blacklist_filter,Filter: %s,Фильтр: %s,,,,,,Filtr: %s,,,,,,
arena_blacklist_filter_all,All,Все,,,,,,Wszystko,,,,,,
arena_blacklist_filter_blacklist,Blacklist,Чёрный список,,,,,,Zakazane,,,,,,
arena_blacklist_filter_whitelist,Whitelist,Белый список,,,,,,Pozwolone,,,,,,
arena_perk_glass_cannon_alt,"Your spells deal 5x damage and have larger blast ranges, but your maximum health is set to 50.","Ваши заклинания наносят в 5 раз больше урона и имеют больший радиус взрыва, но ваше максимальное здоровье снижено до 50.",,,,,,"Twoje zaklęcia zadają 5x obrażeń i mają większy promień wybuchu, ale twoje maksymalne zdrowie jest ustawione na 50.",,,,,,
arena_cosmetics_inventory,Cosmetics,,,,,,,Akcesoria,,,,,,
arena_cosmetics_inventory_button_desc,Open your cosmetics inventory.,,,,,,,Otwórz ekwipunek posiadanych akcesoriów.,,,,,,
arena_cosmetics_shop,Cosmetics Shop,,,,,,,Sklep z akcesoriami,,,,,,
arena_cosmetics_credits,Credits,,,,,,,Monety,,,,,,
arena_cosmetics_credits_desc,Currency used for unlocking cosmetics.,,,,,,,Waluta używana przy odblokowaniu akcesoriów.,,,,,,
arena_cosmetics_buy_not_enough,You do not have enough credits to unlock this cosmetic.,,,,,,,"Masz nie wystarczającą ilość monet, żeby odblokować ten przedmiot.",,,,,,
arena_cosmetics_buy,Unlock this cosmetic for %s credits?,,,,,,,Czy odblokować ten przedmiot za %s monet?,,,,,,
arena_cosmetics_reward,You were rewarded %s credits for your win,,,,,,,Dostajesz %s monet za wygraną rundę!,,,,,,
arena_cosmetics_reward_kill,You were rewarded %s credits for your kill,,,,,,,Dostajesz %s monet za zabicie przeciwnika!,,,,,,
arena_cosmetics_not_implemented,Cosmetics are not implemented yet.,,,,,,,Akcesoria będą dostępne wkrótce.,,,,,,
arena_cosmetic_unlock,Cosmetic Unlocked,,,,,,,Odblokowano przedmiot,,,,,,
arena_cosmetic_hidden_unlock,You unlocked  '%s'!,,,,,,,Odblokowano '%s'!,,,,,,
arena_player_ready,%s is ready.,,,,,,,%s jest gotowy.,,,,,,
arena_player_unready,%s is no longer ready.,,,,,,,%s już nie jest gotowy.,,,,,,
arena_player_loaded_arena,%s has loaded the arena.,,,,,,,%s wszedł do areny.,,,,,,
arena_cosmetics_wallet,Wallet,,,,,,,Portfel,,,,,,
arena_settings_zone_time_name,Zone Time,,,,,,,Czas trwania strefy,,,,,,
arena_settings_zone_time_description,How long until the zone reaches minimum size?,,,,,,,Ile czasu zajmie strefie zmniejszenie się do minimalnego rozmiaru?,,,,,,
arena_settings_zone_steps_name,Zone Steps,,,,,,,Kroki strefy,,,,,,
arena_settings_zone_steps_description,How many steps should it take for the zone to reach 0?,,,,,,,"Ile kroków potrzeba, aby strefa zmniejszyła się do zera?",,,,,,
